sentence,sentence_type
le départ et l'arrivée de mon voyage sont respectivement Le Mont Dore Ski et Dunkerque,from_to
le départ et l'arrivée de mon voyage sont respectivement Etaples Le Touquet et Romans-Bourg-de-Péage,from_to
le départ et l'arrivée de mon voyage sont respectivement Mullheim-Baden-Bf et Lutterbach Tram-train,from_to
le départ et l'arrivée de mon voyage sont respectivement Lamure-sur-Azergues et Châteauroux-L-Giraudoux,from_to
le départ et l'arrivée de mon voyage sont respectivement Pont-St-Vincent et Revigny,from_to
le départ et l'arrivée de mon voyage sont respectivement Laon-Gare-Routière-Poma et Herbitzheim Mairie,from_to
le départ et l'arrivée de mon voyage sont respectivement Roanne et Tessonnières,from_to
le départ et l'arrivée de mon voyage sont respectivement La Forest et Dax,from_to
le départ et l'arrivée de mon voyage sont respectivement Brou et Lyon-Gorge-de-Loup,from_to
le départ et l'arrivée de mon voyage sont respectivement Le Mont Dore Ski et Villedieu (Gare),from_to
le départ et l'arrivée de mon voyage sont respectivement Berthelming-Mairie et Le-Verdon,from_to
le départ et l'arrivée de mon voyage sont respectivement Contrexéville et Port-de-Piles,from_to
le départ et l'arrivée de mon voyage sont respectivement Neustadt (Weinstr) Hbf et Courtalain-St-Pellerin,from_to
le départ et l'arrivée de mon voyage sont respectivement Andelot et Trouville-Deauville,from_to
le départ et l'arrivée de mon voyage sont respectivement Creil et Foix,from_to
le départ et l'arrivée de mon voyage sont respectivement Charleroi Sud et Sain-Bel,from_to
le départ et l'arrivée de mon voyage sont respectivement Rives et Briouze,from_to
le départ et l'arrivée de mon voyage sont respectivement Villefranche-sur-Saône et Pontarlier,from_to
le départ et l'arrivée de mon voyage sont respectivement Perl Gare DB et Castelnaudary,from_to
le départ et l'arrivée de mon voyage sont respectivement Benfeld et Jeumont,from_to
le départ et l'arrivée de mon voyage sont respectivement Dormans et Albert,from_to
le départ et l'arrivée de mon voyage sont respectivement Jougne et Grenoble-Gare-Routière,from_to
le départ et l'arrivée de mon voyage sont respectivement St-Eloy et Foix,from_to
le départ et l'arrivée de mon voyage sont respectivement Freiburg-Breisgau et St-Pierre-d'Albigny,from_to
le départ et l'arrivée de mon voyage sont respectivement Dreux et Tassin,from_to
le départ et l'arrivée de mon voyage sont respectivement La Rochelle-Ville et Ettendorf-(Angle-Pont),from_to
le départ et l'arrivée de mon voyage sont respectivement Port-Boulet et Cahors,from_to
le départ et l'arrivée de mon voyage sont respectivement Cherbourg et Aubagne,from_to
le départ et l'arrivée de mon voyage sont respectivement Lison et Montréjeau-Gourdan-Pol.,from_to
le départ et l'arrivée de mon voyage sont respectivement Lunel et Lyon-Perrache-Gare-Rout,from_to
le départ et l'arrivée de mon voyage sont respectivement Corbigny et Issoire,from_to
le départ et l'arrivée de mon voyage sont respectivement Rives et Decize,from_to
le départ et l'arrivée de mon voyage sont respectivement Epernay et Faubourg-d'Orléans,from_to
le départ et l'arrivée de mon voyage sont respectivement Connerré-Beillé et Les Laumes-Alésia,from_to
le départ et l'arrivée de mon voyage sont respectivement Pont-de-Beauvoisin et Sète,from_to
le départ et l'arrivée de mon voyage sont respectivement Le Grau-du-Roi et Bueil,from_to
le départ et l'arrivée de mon voyage sont respectivement Forbach et Chantonnay,from_to
le départ et l'arrivée de mon voyage sont respectivement Châteaubriant-TT et Tourcoing,from_to
le départ et l'arrivée de mon voyage sont respectivement Wambrechies et Mouscron / Moeskroen,from_to
le départ et l'arrivée de mon voyage sont respectivement Antibes et Rémilly,from_to
le départ et l'arrivée de mon voyage sont respectivement La Roche-sur-Yon et Gramat,from_to
le départ et l'arrivée de mon voyage sont respectivement Aurillac et La Verrière,from_to
le départ et l'arrivée de mon voyage sont respectivement St-Dizier et Serquigny,from_to
le départ et l'arrivée de mon voyage sont respectivement Prissé-la-Charrière et Château-Thierry,from_to
le départ et l'arrivée de mon voyage sont respectivement Routot-Place-de-mairie et Tonnerre,from_to
le départ et l'arrivée de mon voyage sont respectivement Hazebrouck et Sospel,from_to
le départ et l'arrivée de mon voyage sont respectivement Commentry et Saales,from_to
L'arrivée et le départ de mon voyage sont respectivement Communay-Stade et Droué (Centre),from_to
L'arrivée et le départ de mon voyage sont respectivement Vézelise Beauregard et Ussel,from_to
L'arrivée et le départ de mon voyage sont respectivement Le Croisic et Meymac,from_to
L'arrivée et le départ de mon voyage sont respectivement Les Laumes-Alésia et Abancourt,from_to
L'arrivée et le départ de mon voyage sont respectivement Issoudun et Brioude-Lycée-Lafayette,from_to
L'arrivée et le départ de mon voyage sont respectivement Pornic et Barr,from_to
L'arrivée et le départ de mon voyage sont respectivement Chagny et Bréauté-Beuzeville,from_to
L'arrivée et le départ de mon voyage sont respectivement Gap et L'Aigle,from_to
L'arrivée et le départ de mon voyage sont respectivement Thann Arrêt La Poste et Payns Abri Savières,from_to
L'arrivée et le départ de mon voyage sont respectivement Montargis-OT et Besançon-Franche-Comté,from_to
L'arrivée et le départ de mon voyage sont respectivement Louhans et Serquigny,from_to
L'arrivée et le départ de mon voyage sont respectivement Redon et Lichtenberg-(Eglise).,from_to
L'arrivée et le départ de mon voyage sont respectivement Audun-le-Roman et Vernon-Giverny,from_to
L'arrivée et le départ de mon voyage sont respectivement Saint-Léonard Centre et Paris Gare du Nord,from_to
L'arrivée et le départ de mon voyage sont respectivement St-Junien et Tonnerre,from_to
L'arrivée et le départ de mon voyage sont respectivement Aubenas-Pl.-de-la-Paix et Morlaix,from_to
L'arrivée et le départ de mon voyage sont respectivement Libourne et St-Chély-d'Apcher,from_to
L'arrivée et le départ de mon voyage sont respectivement Bressuire et St-Eloy,from_to
L'arrivée et le départ de mon voyage sont respectivement Paris-Est et Cernay-(Lycée),from_to
L'arrivée et le départ de mon voyage sont respectivement WOERTH RHEIN et Basel-SBB,from_to
L'arrivée et le départ de mon voyage sont respectivement Vezin-Carrefour et St-Chély-d'Apcher,from_to
L'arrivée et le départ de mon voyage sont respectivement Persan-Beaumont et Morteau,from_to
L'arrivée et le départ de mon voyage sont respectivement Bayel-Eglise et Sarrebourg-LP-Messmer,from_to
L'arrivée et le départ de mon voyage sont respectivement Massiac-Blesle et Meroux,from_to
L'arrivée et le départ de mon voyage sont respectivement Ternay-Barbières et St-Chély-d'Apcher,from_to
L'arrivée et le départ de mon voyage sont respectivement Rosporden et Feurs,from_to
L'arrivée et le départ de mon voyage sont respectivement Redon et Limoux,from_to
L'arrivée et le départ de mon voyage sont respectivement Sérézin et Latour-de-Carol-Enveitg,from_to
L'arrivée et le départ de mon voyage sont respectivement Bergerac et La Roche-sur-Foron,from_to
L'arrivée et le départ de mon voyage sont respectivement Luchon et Le Dorat,from_to
L'arrivée et le départ de mon voyage sont respectivement Capdenac et Creil,from_to
L'arrivée et le départ de mon voyage sont respectivement Bréauté-Beuzeville et Feurs,from_to
L'arrivée et le départ de mon voyage sont respectivement Wesserling et Privas-Cours-du-Palais,from_to
L'arrivée et le départ de mon voyage sont respectivement Sarralbe Centre et Vertaizon,from_to
L'arrivée et le départ de mon voyage sont respectivement Bourges-Gare-Routière et Nouzonville,from_to
L'arrivée et le départ de mon voyage sont respectivement Douai et St-Rambert-en-Bugey,from_to
"L'arrivée et le départ de mon voyage sont respectivement Montchanin et Ettendorf-Pl,-de-L'ecol",from_to
L'arrivée et le départ de mon voyage sont respectivement Saint-Etienne-Chtx GR et Touet-de-l'Escarène,from_to
L'arrivée et le départ de mon voyage sont respectivement Le Puy-en-Velay et Saint-Claude,from_to
L'arrivée et le départ de mon voyage sont respectivement Bressuire et Jeumont,from_to
L'arrivée et le départ de mon voyage sont respectivement Châteaudun et Haguenau-Moulin-Neuf.,from_to
L'arrivée et le départ de mon voyage sont respectivement Sarrebourg-Hôpital et Nîmes,from_to
L'arrivée et le départ de mon voyage sont respectivement Paris-Montparnasse 1-2 et Paris Gare du Nord,from_to
L'arrivée et le départ de mon voyage sont respectivement Fismes et Sens,from_to
L'arrivée et le départ de mon voyage sont respectivement Les Arcs-Draguignan et La Bastide-St-Laurent,from_to
L'arrivée et le départ de mon voyage sont respectivement Serquigny et St-Just-SNCF,from_to
L'arrivée et le départ de mon voyage sont respectivement Chauffailles-Gambetta et Besançon-Viotte,from_to
L'arrivée et le départ de mon voyage sont respectivement Mauriac et Chinon,from_to
L'arrivée et le départ de mon voyage sont respectivement Châlons-en-Champagne et Abbeville,from_to
L'arrivée et le départ de mon voyage sont respectivement Chartres-Gare-Routière et Pamiers,from_to
Ma provenance et ma destination sont respectivement St-Dié-des-Vosges et Hyères,from_to
Ma provenance et ma destination sont respectivement Bening et Pompadour,from_to
Ma provenance et ma destination sont respectivement Bléré-la-Croix et Brioude,from_to
Ma provenance et ma destination sont respectivement Tergnier et St-Gilles-Croix-de-Vie,from_to
Ma provenance et ma destination sont respectivement Jougne et Mons,from_to
Ma provenance et ma destination sont respectivement Vallon-en-Sully et Corbigny,from_to
Ma provenance et ma destination sont respectivement Neuilly-lès-Dijon et Remiremont,from_to
Ma provenance et ma destination sont respectivement Vertaizon et Etang,from_to
Ma provenance et ma destination sont respectivement Nouzonville et Bourg-en-Bresse,from_to
Ma provenance et ma destination sont respectivement Dossenheim-(Mairie) et WINDEN PFALZ,from_to
Ma provenance et ma destination sont respectivement Cosne-sur-Loire et Valence-Gare-Routière,from_to
Ma provenance et ma destination sont respectivement Ettendorf-(Angle-Pont) et Liverdun,from_to
Ma provenance et ma destination sont respectivement Cernay (Haut-Rhin) et Arras,from_to
Ma provenance et ma destination sont respectivement Chedde et Lyon-St-Paul,from_to
Ma provenance et ma destination sont respectivement Brignais et Le-Mont-Dore-Gare,from_to
Ma provenance et ma destination sont respectivement Mirecourt et Vierzon,from_to
Ma provenance et ma destination sont respectivement Montpellier-Saint-Roch et Truyes-St-Blaise,from_to
Ma provenance et ma destination sont respectivement Laval et Saverne-(Ht-Barr),from_to
Ma provenance et ma destination sont respectivement Epinal et St-Nazaire,from_to
Ma provenance et ma destination sont respectivement Flers et Comines (France),from_to
Ma provenance et ma destination sont respectivement Béziers et St-George-d'Aurac-Bourg,from_to
Ma provenance et ma destination sont respectivement Wissembourg et Cherbourg,from_to
Ma provenance et ma destination sont respectivement Sain-Bel et Saverne-(Pl.-Dragons),from_to
Ma provenance et ma destination sont respectivement Barenton-sur-Serre et Mirecourt,from_to
Ma provenance et ma destination sont respectivement Châteaudun-LEP-Paulsen et Paris-Est,from_to
Ma provenance et ma destination sont respectivement Poligny et Narbonne,from_to
Ma provenance et ma destination sont respectivement Basel-SBB et Le Mans,from_to
Ma provenance et ma destination sont respectivement Courtrai/Kortrijk et Coutras,from_to
Ma provenance et ma destination sont respectivement Chartres et Le Tréport-Mers-Les-B,from_to
Ma provenance et ma destination sont respectivement Frohmuhl- (Lavoir) et St-Marcellin,from_to
Ma provenance et ma destination sont respectivement Dijon-Ville et Poitiers,from_to
Ma provenance et ma destination sont respectivement Bort-les-Orgues et Auxonne,from_to
Ma provenance et ma destination sont respectivement Paris-Bercy et St-Germain-des-Fossés,from_to
Ma provenance et ma destination sont respectivement Entzheim-Aéroport et Latour de Carol,from_to
Ma provenance et ma destination sont respectivement Lannion et Beslé,from_to
Ma provenance et ma destination sont respectivement Fougères et Périgueux,from_to
Ma provenance et ma destination sont respectivement Mouscron / Moeskroen et Moyen,from_to
Ma provenance et ma destination sont respectivement Marseille-St-Charles et Valence-Ville,from_to
Ma provenance et ma destination sont respectivement Wesserling et St-Martin-d'Hères,from_to
Ma provenance et ma destination sont respectivement Rives et Limoux,from_to
Ma provenance et ma destination sont respectivement Ribécourt et Etang,from_to
Ma provenance et ma destination sont respectivement Biel et Mouchard,from_to
Ma provenance et ma destination sont respectivement Le Puy-en-Velay et Poitiers-Gare-Routière,from_to
Ma provenance et ma destination sont respectivement Bourges-Gare-Routière et Rumilly,from_to
Ma provenance et ma destination sont respectivement St-Vit et Maubeuge,from_to
Ma provenance et ma destination sont respectivement Ussel et Le Havre,from_to
Ma provenance et ma destination sont respectivement Albi-Ville et Nice-Ville,from_to
Ma provenance et ma destination sont respectivement Tourcoing et St-Jean-Pied-de-Port,from_to
Ma provenance et ma destination sont respectivement Rumilly et Messac-Guipry,from_to
Ma provenance et ma destination sont respectivement Thann Arrêt La Poste et Benfeld,from_to
j'aimerais partir de Cosne-sur-Loire pour me rendre à Niedermodern/Uberach,from_to
j'aimerais partir de Pontorson-Mt-St-Michel pour me rendre à Troyes,from_to
j'aimerais partir de Montpellier-Saint-Roch pour me rendre à Caen,from_to
j'aimerais partir de Champagne-Ardenne pour me rendre à Allamps-Esat,from_to
j'aimerais partir de Tournai pour me rendre à Bruyères (Vosges),from_to
j'aimerais partir de Bois-d'Oingt-Centre pour me rendre à Niederbronn,from_to
j'aimerais partir de Laon-Gare-Routière-Poma pour me rendre à Dol,from_to
j'aimerais partir de Ribécourt pour me rendre à Obermodern,from_to
j'aimerais partir de St-Etienne-Châteaucreux pour me rendre à Bagnoles- Orne Egl.Mad.,from_to
j'aimerais partir de Château-Gaillard pour me rendre à Ste-Marie-/-Mines-Maire,from_to
j'aimerais partir de Lyon-St-Paul-Quai-Bondy pour me rendre à Frasne,from_to
j'aimerais partir de Firminy pour me rendre à Le Mans,from_to
j'aimerais partir de Castelsarrasin pour me rendre à Limoges-Bénédictins,from_to
j'aimerais partir de Delémont pour me rendre à Montauban-Ville-Bourbon,from_to
j'aimerais partir de Thann Arrêt La Poste pour me rendre à St-Raphaël-Valescure,from_to
j'aimerais partir de Sospel pour me rendre à Connerré-Beillé,from_to
j'aimerais partir de Lyon-Gorge-de-Loup pour me rendre à Aix-les-Bains-le-Revard,from_to
j'aimerais partir de Moûtiers-Salins-Brides pour me rendre à Ste-Pazanne,from_to
j'aimerais partir de Cambo-les-Bains pour me rendre à Vif,from_to
j'aimerais partir de Rosporden pour me rendre à Chantonnay,from_to
j'aimerais partir de Roeschwoog pour me rendre à Dossenheim-(Mairie),from_to
j'aimerais partir de Commentry pour me rendre à La Brohinière,from_to
j'aimerais partir de Poitiers-Gare-Routière pour me rendre à Berthelming-Mairie,from_to
j'aimerais partir de Toury pour me rendre à St Omer,from_to
j'aimerais partir de Juvancourt pour me rendre à Verneuil-sur-Serre,from_to
j'aimerais partir de Is-sur-Tille pour me rendre à Tende,from_to
j'aimerais partir de Nexon pour me rendre à Mazamet,from_to
j'aimerais partir de L'Aigle pour me rendre à Mommenheim,from_to
j'aimerais partir de Saint-Cyprien-Arènes pour me rendre à Biel,from_to
j'aimerais partir de Firminy pour me rendre à Landau-Pfalz-Hbf,from_to
j'aimerais partir de Chinon pour me rendre à Laissac-Foirail,from_to
j'aimerais partir de Longages-Noé pour me rendre à Rang du Fl. Verton Ber.,from_to
j'aimerais partir de Morhange pour me rendre à St-Junien,from_to
j'aimerais partir de Thionville pour me rendre à Chinon,from_to
j'aimerais partir de Argentine pour me rendre à Pornic,from_to
j'aimerais partir de St-André-le-Gaz pour me rendre à Beauvais-Gare-SNCF,from_to
j'aimerais partir de Chaumont pour me rendre à Lourdes,from_to
j'aimerais partir de Luxembourg pour me rendre à Verdun,from_to
j'aimerais partir de Brive-la-Gaillarde pour me rendre à St-Sulpice (Tarn),from_to
j'aimerais partir de Clamecy pour me rendre à Reims,from_to
j'aimerais partir de Sospel pour me rendre à Compiègne,from_to
j'aimerais partir de Givors-Ville pour me rendre à Le Buisson,from_to
j'aimerais partir de Besançon-Viotte pour me rendre à Le-Breuil-sur-Couze-Lyc,from_to
j'aimerais partir de Langon pour me rendre à Lamure-sur-Azergues,from_to
j'aimerais partir de Mantes-la-Jolie pour me rendre à Mauriac,from_to
j'aimerais partir de Rodange pour me rendre à Moulins-sur-Allier,from_to
j'aimerais partir de Les Granges-Narboz pour me rendre à Buzançais,from_to
j'aimerais partir de Carnoules pour me rendre à Mende,from_to
j'aimerais partir de Cavaillon pour me rendre à Langres-Gendarmerie,from_to
j'aimerais partir de Arcachon pour me rendre à La Ferté-sur-Chiers,from_to
Je suis à Cannes-la-Bocca et je souhaite me rendre à Arvant,from_to
Je suis à Bitche-Camp et je souhaite me rendre à Cannes-la-Bocca,from_to
Je suis à Lunel et je souhaite me rendre à Mondoubleau-Rue-Leroy,from_to
Je suis à Bellegarde-s-V. Gare et je souhaite me rendre à Vendôme-Villiers-s-Loir,from_to
Je suis à Montauban-de-Bretagne et je souhaite me rendre à St-Junien,from_to
Je suis à Bettembourg et je souhaite me rendre à Lunel,from_to
Je suis à Montreux-Vieux et je souhaite me rendre à Allamps-Esat,from_to
Je suis à Rue et je souhaite me rendre à Revigny,from_to
Je suis à Lyon-St-Paul-Quai-Bondy et je souhaite me rendre à Beslé,from_to
Je suis à L'Isle-Jourdain (Gers) et je souhaite me rendre à Sarreguemines,from_to
Je suis à Saverne et je souhaite me rendre à Roeschwoog,from_to
Je suis à Lyon-Gorge-de-Loup et je souhaite me rendre à Pompadour,from_to
Je suis à Arvant et je souhaite me rendre à Bedous,from_to
Je suis à Rumilly et je souhaite me rendre à St-Chély-d'Apcher,from_to
Je suis à Frohmuhl- (Lavoir) et je souhaite me rendre à Hombourg (Chapelle),from_to
Je suis à Lens et je souhaite me rendre à Dole-Ville,from_to
Je suis à Felletin-Gare et je souhaite me rendre à Trier-Hbf (Trèves),from_to
Je suis à Le Tréport-Mers-Les-B et je souhaite me rendre à Lugny,from_to
Je suis à Mâcon-Loché-TGV et je souhaite me rendre à Pontorson-Mt-St-Michel,from_to
Je suis à Muret et je souhaite me rendre à Morlaix,from_to
Je suis à Bidos et je souhaite me rendre à Buzançais,from_to
Je suis à Conflans-Jarny et je souhaite me rendre à St-Flour-Chaudes-Aigues,from_to
Je suis à St-Emilion et je souhaite me rendre à Compiègne,from_to
Je suis à Longuyon (Collège) et je souhaite me rendre à Rue,from_to
Je suis à La Souterraine et je souhaite me rendre à Besançon-Viotte,from_to
Je suis à St-Vit et je souhaite me rendre à Vierzon-Médiathèque,from_to
Je suis à Rives et je souhaite me rendre à Rolleville,from_to
Je suis à Besançon-Viotte et je souhaite me rendre à Carmaux,from_to
Je suis à St Pol sur Ternoise et je souhaite me rendre à Paris-Montp.3-Vaug.,from_to
Je suis à Givors-Ville et je souhaite me rendre à WINDEN PFALZ,from_to
Je suis à Castelnaudary et je souhaite me rendre à Obermodern,from_to
Je suis à Creutzwald G.R. et je souhaite me rendre à Luchon-Richelieu,from_to
Je suis à Roanne-Gare-Routière et je souhaite me rendre à Dunkerque,from_to
Je suis à Moûtiers-Salins-Brides et je souhaite me rendre à Elbeuf-St-Aubin,from_to
Je suis à Nancy-Ville et je souhaite me rendre à Sens,from_to
Je suis à St-Denis-près-Martel et je souhaite me rendre à Châteauroux-Charmilles,from_to
Je suis à Rue et je souhaite me rendre à Barenton-sur-Serre,from_to
Je suis à Vallon-en-Sully et je souhaite me rendre à Port-Bou,from_to
Je suis à Clisson et je souhaite me rendre à Marseille-St-Charles,from_to
Je suis à Aix-les-Bains-le-Revard et je souhaite me rendre à Lunéville (Cité Scolai),from_to
Je suis à Valence-Ville et je souhaite me rendre à Paris-Bercy,from_to
Je suis à Coutances et je souhaite me rendre à Aubagne,from_to
Je suis à Sarreguemines et je souhaite me rendre à Villefranche-Vernet-l.B,from_to
Je suis à Pagny-sur-Moselle et je souhaite me rendre à Poligny,from_to
Je suis à Luzy(Nièvre) et je souhaite me rendre à Clisson,from_to
Je suis à Annecy et je souhaite me rendre à Argenton-sur-Creuse,from_to
Je suis à Frasne et je souhaite me rendre à Morcenx,from_to
Je suis à Veigné et je souhaite me rendre à Montréjeau-Gourdan-Pol.,from_to
Je suis à Cerbère et je souhaite me rendre à St-George-d'Aurac-Bourg,from_to
Je suis à Luxembourg et je souhaite me rendre à Poitiers,from_to
Je souhaite le chemin le plus rapide entre les deux gares suivantes gare de Neussargues et gare de Besançon-Viotte,from_to
Je souhaite le chemin le plus rapide entre les deux gares suivantes gare de Capdenac et gare de Sarreguemines,from_to
Je souhaite le chemin le plus rapide entre les deux gares suivantes gare de Vendôme-Villiers-s-Loir et gare de Gramat,from_to
Je souhaite le chemin le plus rapide entre les deux gares suivantes gare de Vic-le-Comte et gare de Lunéville (Cité Scolai),from_to
Je souhaite le chemin le plus rapide entre les deux gares suivantes gare de Callac et gare de Puyoô,from_to
Je souhaite le chemin le plus rapide entre les deux gares suivantes gare de Rosporden et gare de Mauzé,from_to
Je souhaite le chemin le plus rapide entre les deux gares suivantes gare de Breil-sur-Roya et gare de Dormans,from_to
Je souhaite le chemin le plus rapide entre les deux gares suivantes gare de Châteauroux-Ly-B-Pascal et gare de Saverne-(Ht-Barr),from_to
Je souhaite le chemin le plus rapide entre les deux gares suivantes gare de Colmar et gare de Digoin,from_to
Je souhaite le chemin le plus rapide entre les deux gares suivantes gare de Romilly-sur-Seine et gare de Tessonnières,from_to
Je souhaite le chemin le plus rapide entre les deux gares suivantes gare de Arvant et gare de Romorantin-Lycée-de-F,from_to
Je souhaite le chemin le plus rapide entre les deux gares suivantes gare de Port-Bou et gare de Brive-la-Gaillarde,from_to
Je souhaite le chemin le plus rapide entre les deux gares suivantes gare de Baroncourt et gare de Willer-sur-Thur,from_to
Je souhaite le chemin le plus rapide entre les deux gares suivantes gare de Luçay-le-Male et gare de Montargis-OT,from_to
Je souhaite le chemin le plus rapide entre les deux gares suivantes gare de Contrexéville et gare de Port-Boulet,from_to
Je souhaite le chemin le plus rapide entre les deux gares suivantes gare de St-Marcellin et gare de Ancenis,from_to
Je souhaite le chemin le plus rapide entre les deux gares suivantes gare de Chatellerault et gare de WOERTH RHEIN,from_to
Je souhaite le chemin le plus rapide entre les deux gares suivantes gare de Paray-le-Monial et gare de Faubourg-d'Orléans,from_to
Je souhaite le chemin le plus rapide entre les deux gares suivantes gare de St-Pierre-de-Chandieu-R et gare de Albens,from_to
Je souhaite le chemin le plus rapide entre les deux gares suivantes gare de Evian-les-Bains et gare de Epierre-St-Léger,from_to
Je souhaite le chemin le plus rapide entre les deux gares suivantes gare de Chinon-Lycée-Rabelais et gare de Lunéville (Cité Scolai),from_to
Je souhaite le chemin le plus rapide entre les deux gares suivantes gare de Chinon-Lycée-Rabelais et gare de Nice-Ville,from_to
Je souhaite le chemin le plus rapide entre les deux gares suivantes gare de Objat et gare de Trier-Hbf (Trèves),from_to
Je souhaite le chemin le plus rapide entre les deux gares suivantes gare de St-Georges-d'Aurac et gare de Breil-sur-Roya,from_to
Je souhaite le chemin le plus rapide entre les deux gares suivantes gare de Vernon-Giverny et gare de Lison,from_to
Je souhaite le chemin le plus rapide entre les deux gares suivantes gare de Biel et gare de Dijon-Porte-Neuve,from_to
Je souhaite le chemin le plus rapide entre les deux gares suivantes gare de Fismes et gare de Hazebrouck,from_to
Je souhaite le chemin le plus rapide entre les deux gares suivantes gare de Alençon et gare de Thouars,from_to
Je souhaite le chemin le plus rapide entre les deux gares suivantes gare de Chedde et gare de Kédange (Eglise),from_to
Je souhaite le chemin le plus rapide entre les deux gares suivantes gare de Namur et gare de Chauffailles-Gambetta,from_to
Je souhaite le chemin le plus rapide entre les deux gares suivantes gare de Freiburg-Breisgau et gare de Vézelise Beauregard,from_to
Je souhaite le chemin le plus rapide entre les deux gares suivantes gare de St-Marcellin et gare de Sarrebourg-LP-Messmer,from_to
Je souhaite le chemin le plus rapide entre les deux gares suivantes gare de Sarralbe et gare de St Quentin,from_to
Je souhaite le chemin le plus rapide entre les deux gares suivantes gare de Saumur et gare de Monaco-Monte-Carlo,from_to
Je souhaite le chemin le plus rapide entre les deux gares suivantes gare de Marvejols Place Chayla et gare de Thionville,from_to
Je souhaite le chemin le plus rapide entre les deux gares suivantes gare de Dunkerque et gare de Montélimar-G-Routière,from_to
Je souhaite le chemin le plus rapide entre les deux gares suivantes gare de Fécamp et gare de St-Gervais-Mairie,from_to
Je souhaite le chemin le plus rapide entre les deux gares suivantes gare de St-Emilion et gare de Martigues,from_to
Je souhaite le chemin le plus rapide entre les deux gares suivantes gare de Munster et gare de Bourges,from_to
Je souhaite le chemin le plus rapide entre les deux gares suivantes gare de Noirétable et gare de Orange,from_to
Je souhaite le chemin le plus rapide entre les deux gares suivantes gare de Lunel et gare de Andelot,from_to
Je souhaite le chemin le plus rapide entre les deux gares suivantes gare de Etang et gare de Bourg-Achard Champ de F,from_to
Je souhaite le chemin le plus rapide entre les deux gares suivantes gare de Juvancourt et gare de Truyes-Pl-Du-Souvenir,from_to
Je souhaite le chemin le plus rapide entre les deux gares suivantes gare de Coppet et gare de Ste-Croix/Mines-Sq-de-G,from_to
Je souhaite le chemin le plus rapide entre les deux gares suivantes gare de Mouchard et gare de Courtalain-St-Pellerin,from_to
Je souhaite le chemin le plus rapide entre les deux gares suivantes gare de Issoire-Lycée-Deville et gare de Arcachon,from_to
Je souhaite le chemin le plus rapide entre les deux gares suivantes gare de Brou et gare de Condat-le-Lardin,from_to
Je souhaite le chemin le plus rapide entre les deux gares suivantes gare de Munster et gare de Coutras,from_to
Je souhaite le chemin le plus rapide entre les deux gares suivantes gare de Comines (France) et gare de Culoz,from_to
Je souhaite le chemin le plus rapide entre les deux gares suivantes gare de St-Yrieix-la-Perche et gare de Nouzonville,from_to
nous voulons aller du pont du Truyes-Pl-Du-Souvenir jusqu'à Guéret,from_to
nous voulons aller du pont du Charleville-Mézières jusqu'à Sarreguemines,from_to
nous voulons aller du pont du Surdon jusqu'à WINDEN PFALZ,from_to
nous voulons aller du pont du Janzé jusqu'à Saverne-(Pl.-Dragons),from_to
nous voulons aller du pont du L'Arbresle jusqu'à Annonay-Gare-Route,from_to
nous voulons aller du pont du Coutras jusqu'à Loudrefing,from_to
nous voulons aller du pont du Poligny jusqu'à Langon,from_to
nous voulons aller du pont du Tassin jusqu'à Metzeral,from_to
nous voulons aller du pont du Biel jusqu'à Châteauroux-L-Giraudoux,from_to
nous voulons aller du pont du Abbeville jusqu'à Willer-sur-Thur,from_to
nous voulons aller du pont du Loches-LEP jusqu'à Vesoul,from_to
nous voulons aller du pont du Carmaux jusqu'à Rouen-Rive-Droite,from_to
nous voulons aller du pont du Argenton-sur-Creuse jusqu'à Luzy(Nièvre),from_to
nous voulons aller du pont du Thesee jusqu'à Maubeuge,from_to
nous voulons aller du pont du nan jusqu'à Privas-Cours-du-Palais,from_to
nous voulons aller du pont du St-Vit jusqu'à Coutras,from_to
nous voulons aller du pont du St-Mariens-St-Yzan jusqu'à La Chaise-Dieu,from_to
nous voulons aller du pont du Charmes (Vosges) jusqu'à Pont-de-Beauvoisin,from_to
nous voulons aller du pont du Avignon-Centre jusqu'à Nantes,from_to
nous voulons aller du pont du Le Buisson jusqu'à Auxonne,from_to
nous voulons aller du pont du Latour de Carol jusqu'à Bar-sur-Aube,from_to
nous voulons aller du pont du La Ferté-sur-Chiers jusqu'à Coutances,from_to
nous voulons aller du pont du Carnoules jusqu'à Kédange (Eglise),from_to
nous voulons aller du pont du Champagnole jusqu'à Colomiers,from_to
nous voulons aller du pont du Béthune jusqu'à Delémont,from_to
nous voulons aller du pont du Bresse-Claudel (la) jusqu'à Metz-Ville,from_to
nous voulons aller du pont du Bourges-Gare-Routière jusqu'à Obermodern,from_to
nous voulons aller du pont du Niedermodern/Uberach jusqu'à Castelsarrasin,from_to
nous voulons aller du pont du Marle-sur-Serre jusqu'à St-Aignan-Pl-Wilson,from_to
nous voulons aller du pont du Dossenheim-(Mairie) jusqu'à Neufchateau-Lp,from_to
nous voulons aller du pont du Altkirch jusqu'à Joinville,from_to
nous voulons aller du pont du Narbonne jusqu'à Châteauroux-Charmilles,from_to
nous voulons aller du pont du Bedous jusqu'à Port-de-Piles,from_to
nous voulons aller du pont du Kehl jusqu'à Dole-Ville,from_to
nous voulons aller du pont du Vertaizon jusqu'à Montbéliard-Ville,from_to
nous voulons aller du pont du Le Mont St Michel jusqu'à Nogent-sur-Seine,from_to
